,nombre_atrezzo,categoria_atrezzo,seccion_atrezzo,descripcion_atrezzo,largo,ancho,alto,imagen_atrezzo
45,CO32,Cocinas,Varios cocina  ,Fregadero de cocina de acero inoxidable,60,60,21,https://atrezzovazquez.es/admin/img_prod/CO32/CO32-720x540.png
46,COM32,Comoda,Tocador  Frances  Dormitorio  ,Tocador Luis XVI blanco y oro de rejilla con espejo,107,50,137,https://atrezzovazquez.es/admin/img_prod/COM32/COM32-1-720x540.png
47,CON32,Consola,Italiano  Recibidor  ,Consola italiana embero,150,40,74,https://atrezzovazquez.es/admin/img_prod/CON32/CON32-1-720x540.png
0,CU32,Cuadro,Retratos  ,Cuadro marco negro liso óleo hombre,100,10,128,https://atrezzovazquez.es/admin/img_prod/CU32/CU32-720x540.png
1,ANU32,Carteles y anuncios,Bar y cafetería  ,"Cartel antiguo plástico ""Mahou""",15,1,10,https://atrezzovazquez.es/admin/img_prod/ANU32/ANU32-720x540.png
2,ESP32,Espejo,Comedor  ,Espejo valenciano de aparador marco nogal forma,145,15,102,https://atrezzovazquez.es/admin/img_prod/ESP32/ESP32-720x540.png
3,ES32,Estanteria,Isabelino  Salón  ,Estanteria rinconera isabelina negra,75,53,141,https://atrezzovazquez.es/admin/img_prod/ES32/ES32-1-720x540.png
4,EST32,Estufa,Calefaccion  ,Placa de calor eléctrica con ruedas,100,17,55,https://atrezzovazquez.es/admin/img_prod/EST32/EST32-720x540.png
5,ESTAT32,Estatua,Religioso  ,Estatua Ángel de piedra pequeño,34,18,56,https://atrezzovazquez.es/admin/img_prod/ESTAT32/ESTAT32-720x540.png
6,F32,Fichero,Despacho  ,Fichero armario metálico gris 2 puertas,100,45,200,https://atrezzovazquez.es/admin/img_prod/F32/F32-1-720x540.png
7,MUS32,Instrumentos musicales,Musica  ,Tambor bola metal,1,1,1,https://atrezzovazquez.es/admin/img_prod/MUS32/MUS32 (INM19)-720x540.png
8,ADO32,Adornos,Salón  ,Panoplia madera de pared con escudo metal,1,1,1,https://atrezzovazquez.es/admin/img_prod/ADO32/ADO32-720x540.png
9,DPT32,Deporte,Bicicleta  ,Bicicleta de niño azul,145,15,60,https://atrezzovazquez.es/admin/img_prod/DPT32/DPT32-720x540.png
10,LAM32,Lámpara,Lámpara de mesa  Salón  ,Lámpara de mesa flores,0,0,0,https://atrezzovazquez.es/admin/img_prod/LAM32/LAM32-720X540.png
